Bandleader,Title,Date,AudioKey
Rodolfo Biagi,Cruz Diablo,1927-08-22,Biagi Rodolfo/1925-1929/Biagi - Cruz Diablo - Instrumental - 1927.opus
Rodolfo Biagi,Alma de Bohemio,1939-03-24,Biagi Rodolfo/1935-1939/Biagi - Alma De Bohemio - Ibanez - 1939.opus
Rodolfo Biagi,Campo Afuera,1939-04-27,Biagi Rodolfo/1935-1939/Biagi - Campo Afuera - Ibanez - 1939.opus
Rodolfo Biagi,Cielo,1939-09-18,Biagi Rodolfo/1935-1939/Biagi - Cielo - Falgas - 1939.opus
Rodolfo Biagi,Déjame Amarte Aunque Sea un Día,1939-09-22,Biagi Rodolfo/1935-1939/Biagi - Dejame Amarte Aunque Sea Un Dia - Falgas - 1939.opus
Rodolfo Biagi,Dichas Que Viví,1939-07-13,Biagi Rodolfo/1935-1939/Biagi - Dichas Que Vivi - Falgas - 1939.opus
Rodolfo Biagi,El Incendio,1938-08-15,Biagi Rodolfo/1935-1939/Biagi - El Incendio - Instrumental - 1938.opus
Rodolfo Biagi,El Rápido,1939-09-18,Biagi Rodolfo/1935-1939/Biagi - El Rapido - Instrumental - 1939.opus
Rodolfo Biagi,El Trece,1938-11-15,Biagi Rodolfo/1935-1939/Biagi - El Trece - Instrumental - 1938.opus
Rodolfo Biagi,Gólgota,1938-08-15,Biagi Rodolfo/1935-1939/Biagi - Golgota - Ibanez - 1938.opus
Rodolfo Biagi,Griseta,1939-10-26,Biagi Rodolfo/1935-1939/Biagi - Griseta - Falgas - 1939.opus
Rodolfo Biagi,La Maleva,1939-03-24,Biagi Rodolfo/1935-1939/Biagi - La Maleva - Instrumental - 1939.opus
Rodolfo Biagi,La Novena,1939-04-27,Biagi Rodolfo/1935-1939/Biagi - La Novena - Ibanez - 1939.opus
Rodolfo Biagi,Lejos de Ti,1938-12-02,Biagi Rodolfo/1935-1939/Biagi - Lejos De Ti - Ibanez - 1938.opus
Rodolfo Biagi,Loca de Amor,1938-11-15,Biagi Rodolfo/1935-1939/Biagi - Loca De Amor - Ibanez - 1938.opus
Rodolfo Biagi,Pura Clase,1939-07-13,Biagi Rodolfo/1935-1939/Biagi - Pura Clase - Instrumental - 1939.opus
Rodolfo Biagi,Queja Indiana,1939-10-26,Biagi Rodolfo/1935-1939/Biagi - Queja Indiana - Falgas - 1939.opus
Rodolfo Biagi,Son Cosas del Bandoneón,1939-09-22,Biagi Rodolfo/1935-1939/Biagi - Son Cosas Del Bandoneon - Falgas - 1939.opus
Rodolfo Biagi,Una Pena,1938-12-02,Biagi Rodolfo/1935-1939/Biagi - Una Pena - Ibanez - 1938.opus
Rodolfo Biagi,Unión Cívica,1938-10-17,Biagi Rodolfo/1935-1939/Biagi - Union Civica - Instrumental - 1938.opus
Rodolfo Biagi,Viejo Portón,1938-10-17,Biagi Rodolfo/1935-1939/Biagi - Viejo Porton - Ibanez - 1938.opus
Rodolfo Biagi,A la Luz del Candil,1943-03-03,Biagi Rodolfo/1940-1944/Biagi - A La Luz Del Candil - Acuna - 1943.opus
Rodolfo Biagi,A Mí No Me Interesa,1940-04-12,Biagi Rodolfo/1940-1944/Biagi - A Mi No Me Interesa - Falgas - 1940.opus
Rodolfo Biagi,A Suerte y Verdad,1944-08-11,Biagi Rodolfo/1940-1944/Biagi - A Suerte Y Verdad - Acuna - 1944.opus
Rodolfo Biagi,Adiós Te Vas,1943-08-24,Biagi Rodolfo/1940-1944/Biagi - Adios Te Vas - Acuna - 1943.opus
Rodolfo Biagi,Ahora No Me Conocés,1941-09-26,Biagi Rodolfo/1940-1944/Biagi - Ahora No Me Conoces - Ortiz - 1941.opus
Rodolfo Biagi,Amor y Vals,1942-05-22,Biagi Rodolfo/1940-1944/Biagi - Amor Y Vals - Lago - 1942.opus
Rodolfo Biagi,Arlette,1943-03-03,Biagi Rodolfo/1940-1944/Biagi - Arlette - Amor - 1943.opus
Rodolfo Biagi,Arrebato,1942-01-16,Biagi Rodolfo/1940-1944/Biagi - Arrebato - Lago - 1942.opus
Rodolfo Biagi,Barrio Reo,1943-04-29,Biagi Rodolfo/1940-1944/Biagi - Barrio Reo - Acuna - 1943.opus
Rodolfo Biagi,Bélgica,1942-01-20,Biagi Rodolfo/1940-1944/Biagi - Belgica - Instrumental - 1942.opus
Rodolfo Biagi,Calla Corazón,1942-04-15,Biagi Rodolfo/1940-1944/Biagi - Calla Corazon - Ortiz - 1942.opus
